mtp_n_max,bench,category,osl,concurrency,temperature,json,server_log 
1,qualitative,all,1024,1,0,"mtp-speed-bench-results\mtp_n1_qualitative_all_osl1024.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,qualitative,all,2048,1,0,"mtp-speed-bench-results\mtp_n1_qualitative_all_osl2048.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,qualitative,all,4096,1,0,"mtp-speed-bench-results\mtp_n1_qualitative_all_osl4096.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,low_entropy,1024,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_low_entropy_osl1024.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,low_entropy,2048,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_low_entropy_osl2048.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,low_entropy,4096,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_low_entropy_osl4096.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,mixed,1024,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_mixed_osl1024.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,mixed,2048,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_mixed_osl2048.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,mixed,4096,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_mixed_osl4096.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,high_entropy,1024,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_high_entropy_osl1024.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,high_entropy,2048,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_high_entropy_osl2048.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_1k,high_entropy,4096,1,0,"mtp-speed-bench-results\mtp_n1_throughput_1k_high_entropy_osl4096.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_2k,low_entropy,1024,1,0,"mtp-speed-bench-results\mtp_n1_throughput_2k_low_entropy_osl1024.json","mtp-speed-bench-results\server_mtp_n1.log" 
1,throughput_2k,low_entropy,2048,1,0,"mtp-speed-bench-results\mtp_n1_throughput_2k_low_entropy_osl2048.json","mtp-speed-bench-results\server_mtp_n1.log" 
